,万引きが起きるのは、あくまで盗む人に原因がある,クラスタ1,クラスタ1割合(%),クラスタ2,クラスタ2割合(%),合計,合計割合(%)
0,思う,31,83.8,5,29.4,36,66.7
1,思わない／どちらともいえない,6,12.3,12,70.5,18,33.3
2,合計,37,100.0,17,100.0,54,100.0
