,地区,総数（箇所）,理容所（箇所）,美容所（箇所）,クリーニング所（箇所）,旅館業旅館・ホテル（箇所）,旅館業簡易宿所（箇所）,公衆浴場（箇所）,温泉利用施設（箇所）,プール（箇所）,コインランドリー（箇所）,簡易水道（箇所）,簡易専用水道（箇所）,小規模貯水槽特定（箇所）,小規模貯水槽特定以外（箇所）,墓地（箇所）,火葬場（箇所）
0,神着,18,1.0,3.0,,5.0,4,,,,,,,2.0,1,2.0,
1,伊豆,16,,1.0,,,2,1.0,,2.0,,,3.0,4.0,2,1.0,
2,伊ヶ谷,9,,,1.0,,2,,,,,,,1.0,1,3.0,1.0
3,阿古,32,2.0,2.0,,7.0,12,2.0,1.0,,,,2.0,,3,,1.0
4,坪田,23,1.0,4.0,,2.0,8,,,1.0,,1.0,,2.0,2,2.0,
5,御蔵島,21,,2.0,,2.0,11,1.0,,1.0,,1.0,1.0,,1,1.0,
6,合計,118,4.0,12.0,1.0,16.0,39,4.0,1.0,4.0,0.0,2.0,6.0,9.0,10,9.0,2.0
