,Unnamed: 0,1.非常に安心,2.安心,3.不安,4.非常に不安
0,a.火災,1,2,3,4
1,b.地震,1,2,3,4
2,c.津波,1,2,3,4
3,d.台風,1,2,3,4
4,e.集中豪雨,1,2,3,4
5,f.落雷,1,2,3,4
6,g.竜巻,1,2,3,4
7,h.猛暑・熱中症,1,2,3,4
8,i.その他(具体的に),1,2,3,4
