,種別,２４受験者（人）,２４合格者（人）,２５受験者（人）,２５合格者（人）,２６受験者（人）,２６合格者（人）,２７受験者（人）,２７合格者（人）
0,網・わな,0,0,0,0,1,1,0,0
1,第一種,2,2,0,0,0,0,3,3
2,第二種,0,0,0,0,0,0,0,0
3,計,2,2,0,0,1,1,3,3
