,村名,乳用牛経産（頭）,乳用牛未経産（頭）,乳用牛計（頭）,乳用牛戸数（戸）,肉用牛頭数（頭）,肉用牛戸数（戸）,豚肉豚（頭）,豚繁殖豚（頭）,豚戸数（戸）,にわとり産卵鶏（羽）,にわとり戸数（戸）
0,三宅村,0,0,0,0,0,0,0,0,0,0,0
1,御蔵島村,0,0,0,0,0,0,0,0,0,168,6
2,計,0,0,0,0,0,0,0,0,0,168,6
