,区分,調査数,多言語での情報提供サービス,対処方法としてどうすれば良いかの行動を示したパンフレット等が欲しい,その他
0,全体,1127.0,927.0,563.0,40.0
1,全体(%),100.0,82.3,50.0,3.5
