,従属・説明変数,万引き／オッズ比,万引き／S.E.,万引き／z,万引き／95%信頼区間,Unnamed: 5,Unnamed: 6
0,教育年数,0.72,0.08,-2.97,"(0.59,0.90)",,
1,毎月の支払の資力,1.50,0.27,2.28,"(1.06,2.12)",,
2,定数,23.45,32.97,2.24,"(1.49,368.79)",,
3,R2(Cox&Snell),0.16,,,,,
4,R2(Nagelkerke),0.21,,,,,
5,N,97,,,,,
6,モデルのカイ2乗検定,p<0.001,,,,,
