,年月,予定便数（機）,就航数（機）,欠航数強風着（機）,欠航数強風発（機）,欠航数視界着（機）,欠航数視界発（機）,欠航数ガス着（機）,欠航数ガス発（機）,欠航数その他着（機）,欠航数その他発（機）,就航率（％）,東京→三宅島降客数（人）,東京→三宅島提供座席数（席）,東京→三宅島利用率（％）,三宅島→東京乗客数（人）,三宅島→東京提供座席数（席）,三宅島→東京利用率（％）,合計乗降客数（人）,合計提供座席数（席）,合計利用率（％）,貨物取扱量卸（ｋｇ）,貨物取扱量積（ｋｇ）,郵便取扱量卸（ｋｇ）,郵便取扱量積（ｋｇ）
0,4,85,82,0,0,3,3,0,0,0,0,96.5,844,"1,558",54.17,"1,321","1,558",84.79,"2,165","3,116",69.48,171,1.0,―,―
1,5,86,82,0,0,4,4,0,0,0,0,95.3,878,"1,558",56.35,"1,427","1,558",91.59,"2,305","3,116",73.97,209,9.0,―,―
2,6,85,75,1,1,9,9,0,0,0,0,88.2,780,"1,425",54.74,"1,251","1,425",87.79,"2,301","2,850",71.26,165,1.0,―,―
3,7,86,72,0,0,14,14,0,0,0,0,83.7,790,"1,368",57.75,"1,154","1,368",84.36,"1,944","2,736",71.05,224,1.0,―,―
4,8,90,86.5,0,0,3,3,0,0,1,1,96.1,"1,067","1,634",65.3,"1,496","1,653",90.5,"2,563","3,287",77.97,190,21.0,―,―
5,9,81,75,0,0,5,5,0,0,1,1,92.6,834,"1,425",58.53,"1,295","1,425",90.88,"2,129","2,850",74.7,200,6.0,―,―
6,10,81,68,0,0,11,11,0,0,2,2,84.0,762,"1,292",58.98,"1,105","1,292",85.53,"1,867","2,584",72.25,213,63.0,―,―
7,11,79,72.5,0,0,5,5,0,0,2,1,91.8,809,"1,368",59.14,"1,268","1,387",91.42,"2,077","2,755",75.39,217,33.0,―,―
8,12,81,79,1,1,0,0,0,0,1,1,97.5,787,"1,501",52.43,"1,351","1,501",90.01,"2,138","3,002",71.22,320,14.0,―,―
9,1,82,75,3,3,4,4,0,0,0,0,91.5,869,"1,425",60.98,"1,179","1,425",82.74,"2,048","2,850",71.86,329,20.0,―,―
10,2,76,74,1,1,1,1,0,0,0,0,97.4,786,"1,406",55.9,"1,260","1,406",89.62,"2,046","2,812",72.76,171,4.0,―,―
11,3,80,66,2,2,12,12,0,0,0,0,82.5,682,"1,254",54.39,"1,017","1,254",81.1,"1,699","2,508",67.74,322,8.0,―,―
12,年度計,992,907,8,8,71,71,0,0,7,6,91.4,"9,888","17,214",57.44,"15,124","17,252",87.67,"25,012","34,466",72.57,"2,731",181.0,―,―
13,31,992,907,8,8,71,71,0,0,7,6,91.4,"9,888","17,214",57.44,"15,124","17,252",87.67,"25,012","34,466",72.57,,,,
14,30,"1,016",962,3,3,49,48,0,0,3,2,94.8,"9,858","18,259",54.0,"16,010","18,297",87.5,"25,868","36,556",70.9,,,,
15,29,"1,121","1,043",14,14,59,60,0,0,5,4,93.04,"9,843","19,817",49.67,"16,322","19,817",82.36,"26,165","39,634",66.02,,,,
16,28,"1,116","1,026",3,3,63,63,0,0,25,21,91.94,"8,286","19,399",42.71,"15,024","19,551",76.85,"23,310","38,950",59.85,,,,
17,27,"1,116","1,033",5,5,53,53,5,5,21,17,92.56,"8,179","19,608",41.71,"14,752","19,703",74.87,"22,931","39,311",58.33,,,,
18,26,"1,099",994.5,4,4,20,20,23,23,59,56,90.49,"7,163","18,867",37.97,"13,465","18,924",71.15,"20,628","37,791",54.58,,,,
19,25,351,134,33,33,16,16,153,153,15,15,38.18,909,"7,504",12.11,"4,592","7,504",61.19,"5,501","15,008",36.65,,,,
20,24,345,132.5,13,13,12,12,181,182,269,26,38.41,"1,026","7,448",13.78,"5,070","7,392",68.59,"6,096","14,840",41.08,,,,
21,23,354,120,6,6,12,12,212,212,4,4,33.9,984,"6,720",14.6,"44,536","6,720",66.2,"5,435","12,440",40.4,,,,
