,局別１,局別２,局別３,加入数アナログ回線（回線）,加入数光回線（回線）,加入数計（回線）,公衆電話ボックス公衆電話（箇所）,公衆電話卓上公衆電話（箇所）,公衆電話計（箇所）
0,三宅島,２局,三宅島局,459,175,634,8,7,15
1,三宅島,５局,阿古局,334,113,447,4,2,6
2,三宅島,６局,坪田局,324,98,422,2,6,8
3,三宅島,計,,"1,117",386,"1,503",14,15,29
4,御蔵島,８局,御蔵島局,135,53,188,2,1,3
5,合計,,,"1,252",439,"1,691",16,16,32
