,年度,小学校教員（％）,中学校教員（％）,高等学校教員（％）
0,平成１６（２００４）年度,63.0,41.4,28.0
1,平成１７（２００５）年度,63.0,41.4,28.2
2,平成１８（２００６）年度,62.9,41.5,28.4
3,平成１９（２００７）年度,63.0,41.8,28.7
4,平成２０（２００８）年度,63.0,41.9,29.1
5,平成２１（２００９）年度,63.0,42.1,29.6
6,平成２２（２０１０）年度,63.1,42.3,30.1
7,平成２３（２０１１）年度,63.0,42.4,30.6
8,平成２４（２０１２）年度,63.0,42.7,31.1
9,平成２５（２０１３）年度,62.8,42.9,31.5
10,平成２６（２０１４）年度,62.7,43.0,31.8
11,平成２７（２０１５）年度,62.6,43.2,32.2
12,平成２８（２０１６）年度,62.5,43.4,32.6
