,年次,昭和６１（１９８６）年,平成元（１９８９）年,平成４（１９９２）年,平成７（１９９５）年,平成１０（１９９８）年,平成１３（２００１）年,平成１６（２００４）年,平成１９（２００７）年,平成２２（２０１０）年,平成２３（２０１１）年,平成２４（２０１２）年,平成２５（２０１３）年,平成２６（２０１４）年,平成２７（２０１５）年
0,単独世帯（千世帯）,6826,7866,8974,9213,10627,11017,10817,11983,12386,11787,12160,13285,13662,13516.5
1,夫婦のみの世帯（千世帯）,5401,6322,7071,7488,8781,9403,10161,10636,10994,10575,10977,11644,11748,11871.5
2,夫婦と未婚の子のみの世帯（千世帯）,15525,15478,15247,14398,14951,14872,15125,15015,14922,14443,14668,14899,14546,14820.0
3,ひとり親と未婚の子のみの世帯（千世帯）,1908,1985,1998,2112,2364,2618,2774,3006,3180,3263,3348,3621,3576,3624.0
4,三世代世帯（千世帯）,5757,5599,5390,5082,5125,4844,4512,4045,3835,3436,3648,3329,3464,3264.0
5,その他の世帯（千世帯）,2127,2166,2529,2478,2648,2909,2934,3337,3320,3180,3370,3334,3435,3265.0
