,学科１,学科２,１学年男（人）,１学年女（人）,１学年計（人）,２学年男（人）,２学年女（人）,２学年計（人）,３学年男（人）,３学年女（人）,３学年計（人）,合計男（人）,合計女（人）,合計計（人）
0,普通科,,4,5,9,4,5,9,4,2,6,12,12,24
1,併合科,農業,2,0,2,1,0,1,4,1,5,7,1,8
2,併合科,家政,0,1,1,0,4,4,0,0,0,0,5,5
3,計,,6,6,12,5,9,14,8,3,11,19,18,37
