,機関,所在地,緯度,経度,座標系,電話
0,東京家庭裁判所,東京都千代田区霞が関1-1-2,35.67511,139.752594,JGD2011,03-3502-8331
1,立川支部,東京都立川市緑町10-4,35.712479,139.40863,JGD2011,042-845-0317
2,伊豆大島出張所,大島町元町字家の上445-10,34.750164,139.363083,JGD2011,04992-2-1165
3,八丈島出張所,八丈町大賀郷1485-1,33.107437,139.791901,JGD2011,04996-2-0619
