,年度,家計(%),仕事(%),住居(%),家事(%),健康(%),子供の教育／進路・就職(%),特にない(%)
0,14,20.5,26.9,10.3,34.6,15.4,34.6,19.2
1,19,22.9,25.0,8.3,35.4,14.6,58.3,6.3
2,24,26.7,30.0,6.7,46.7,13.3,70.0,0.0
