,îNìx(ê¢ë—êî),100ñúñ¢ñû(%),100Å`200ñúñ¢ñû(%),200Å`400ñúñ¢ñû(%),400Å`600ñúñ¢ñû(%),600Å`800ñúñ¢ñû(%),800ñúà»è„(%),ñ≥âÒìö(%)
0,19(527),12.9,26.0,32.7,13.5,5.3,4.4,5.3
1,24(670),18.3,23.6,30.8,13.3,5.8,3.0,5.3
