,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,1.1,17.6,48.8,31.8,0.7
1,19,1.0,16.8,42.8,38.6,0.8
2,14,0.9,17.3,43.0,36.5,2.3
3,9,0.8,10.8,36.0,51.8,0.5
