,村別,区分,総数,１ｈａ未満,１～５ｈａ,５～１０ｈａ,１０～５０ｈａ,５０ｈａ以上
0,三宅村,人数（人）,2506,1945.0,468.0,67.0,23.0,3.0
1,三宅村,比率（％）,100,77.6,18.7,2.7,0.9,0.1
2,御蔵島村,人数（人）,85,41.0,13.0,17.0,12.0,2.0
3,御蔵島村,比率（％）,100,48.2,15.3,20.0,14.1,2.4
4,計,人数（人）,2591,1986.0,481.0,84.0,35.0,5.0
5,計,比率（％）,100,76.2,18.7,4.7,0.2,0.2
