,区分,n,対策あり層(%),対策なし層(%),無回答(%)
0,全体,1058,25.0,71.7,3.2
1,アジア,790,25.2,71.4,3.4
2,北米,102,28.4,69.6,2.0
3,ヨーロッパ,135,24.4,74.1,1.5
4,オセアニア,30,13.3,76.7,10.0
5,その他,1,0.0,100.0,0.0
