,地区,総数,理容所,美容所,クリーニング所,旅館業旅館,旅館業簡易宿舎,公衆浴場,温泉利用施設,プール,コインランドリー,簡易水道,簡易専用水道,小規模貯水槽特定,小規模貯水槽特定以外,墓地,火葬場
0,神着,20,1.0,1.0,1.0,4.0,4,,,1.0,,,2.0,1.0,3,2.0,
1,伊豆,23,,2.0,,,3,,,2.0,,,5.0,7.0,3,1.0,
2,伊ヶ谷,9,,,,2.0,3,,,,,,,,1,3.0,
3,阿古,59,2.0,3.0,,8.0,29,3.0,2.0,1.0,,,3.0,4.0,3,,1.0
4,坪田,60,3.0,3.0,,8.0,26,1.0,1.0,2.0,,1.0,6.0,4.0,3,2.0,
5,御蔵島,22,,2.0,,2.0,11,1.0,,1.0,,1.0,,2.0,1,1.0,
6,合計,193,6.0,11.0,1.0,24.0,76,5.0,3.0,7.0,0.0,2.0,16.0,18.0,14,9.0,1.0
