,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,3.4,34.1,45.5,16.1,0.9
1,19,3.5,33.2,47.7,14.9,0.7
2,14,2.4,23.0,51.0,21.4,2.2
3,9,1.8,25.7,49.9,22.1,0.5
