,調査数,現状の情報,今後の状況,自分が何をしなければならないのか,家族や知人の安否情報,国内交通機関の運行情報,政府が運営する災害情報サイトのURL,帰国の手続き、方法,国際航空便の運航情報,政府が運営する災害情報アプリ・QRコード,特にない
0,1127.0,1030.0,824.0,709.0,573.0,496.0,394.0,317.0,296.0,275.0,11.0
1,100.0,91.4,73.1,62.9,50.8,44.0,35.0,28.1,24.4,24.4,1.0
