,一日中誰とも話さないことがありますか,被疑者65歳未満／同居人あり（N=30)(%),被疑者65歳未満／同居人なし（N=41)(%),被疑者65歳以上／同居人あり（N=30)(%),被疑者65歳以上／同居人なし（N=26）(%),一般65歳以上／同居人あり（N=1130)(%),一般65歳以上／同居人なし（N=186)(%),被疑者65歳未満／別居家族あり(N=57)(%),被疑者65歳未満／別居家族なし(N=14)(%),被疑者65歳以上／別居家族あり(N=49)(%),被疑者65歳以上／別居家族なし(N=7)(%),一般65歳以上／別居家族あり(N=1012)(%),一般65歳以上／別居家族なし(N=304)(%)
0,ある,23.3,53.7,20,73.1,7.1,53.2,33.3,71.4,38.8,85.7,13.2,14.8
1,ない,76.7,46.3,80,26.9,92.9,46.8,66.7,28.6,61.2,14.3,86.8,85.2
