,整理番号,路線名,起終点,延長（ｍ）,認定延長（ｍ）
0,都道第２１２号,三宅（通称循環線三宅一周道路）,三宅村神着～神着,32896.0,
1,都道第２１３号,中郷坪田港線,三宅村坪田中郷／三宅循環線交差点～坪田漁港,867.0,
2,都道第２１４号,伊豆大久保港線,三宅村伊豆／三宅循環線交差点～大久保港,1205.0,
3,小計,,,34968.0,
4,都道第２２３号,御蔵島循環線,御蔵島港～御蔵島村仲町,,26000.0
