,種別,２１（件）,２２（件）,２３（件）,２４（件）,２５（件）,２６（件）,２７（件）
0,網・わな,0,0,0,0,0,0,0
1,第一種,3,3,3,2,1,0,1
2,第二種,0,0,0,0,0,0,0
3,計,3,3,3,2,1,0,1
