,地区１,地区２,１トン未満（隻）,１～３トン（隻）,３～５トン（隻）,５～１０トン（隻）,１０トン以上（隻）,計（隻）
0,三宅村,阿古,4,7,10,12,10,43
1,三宅村,伊ヶ谷,2,8,0,0,0,10
2,三宅村,伊豆,8,3,0,0,0,11
3,三宅村,神着,11,12,3,2,0,28
4,三宅村,坪田,4,7,3,6,2,22
5,三宅村,計,29,37,16,20,12,114
6,御蔵島村,,10,21,0,0,0,31
7,計,,39,58,16,20,12,145
