,年度別（年）,予算収入（円）,予算支出（円）,決算収入（円）,決算支出（円）
0,27,"67,649,000","69,417,000","72,712,596","73,205,958"
1,28,"71,505,000","72,192,000","73,431,553","72,150,373"
2,29,"74,270,609","89,340,000","75,239,430","87,432,235"
3,30,"77,577,663","71,144,000","76,109,731","70,761,323"
4,元,"74,954,399","72,250,000","76,836,501","71,368,841"
