,電源種別,東京電力認可出力設置個所,東京電力認可出力（万ｋＷ）,東京電力構成比（％）,全国（９電力）認可出力設置個所,全国（９電力）認可出力（万ｋＷ）,全国（９電力）構成比（％）
0,水力,160,852.0,13.6,1159,3377.0,17.2
1,火力,26,3683.0,58.8,156,11939.0,60.8
2,原子力,3,1731.0,27.6,14,4313.0,22.0
3,風力,1,0.05,0.0,5,0.4,0.0
4,合計,190,6266.0,100.0,1334,19629.0,100.0
