,樹種,１３（ｈａ）,１４（ｈａ）,１５（ｈａ）,１６（ｈａ）,計（ｈａ）
0,針葉樹,0,0,0,0,0
1,広葉樹,0,0,0,0,0
2,計,0,0,0,0,0
