,地区別,建設業（人）,製造業（人）,卸・小売業（人）,金融保険業（人）,運輸通信業（人）,電気・ガス水道業（人）,サービス業（人）,その他（人）,計（人）
0,神着,7,4,14,2,3,0,18,2,50
1,伊豆,4,2,6,0,2,1,5,0,20
2,伊ヶ谷,1,1,1,0,0,0,5,0,8
3,阿古,18,2,29,0,4,0,40,2,95
4,坪田,7,4,24,0,2,0,27,1,65
5,三宅村計,37,13,74,2,11,1,95,5,238
6,御蔵島村,2,1,6,0,0,0,23,0,32
7,合計,39,14,80,2,11,1,118,5,270
