,万引きは出来心でしてしまうものだ,被疑者65歳未満／男(N=30)(%),被疑者65歳未満／女(N=37)(%),被疑者65歳以上／男(N=23)(%),被疑者65歳以上／女(N=31)(%),一般65歳以上／男(N=628)(%),一般65歳以上／女(N=609)(%)
0,思う,60,29.7,65.2,41.9,21.3,19.5
1,どちらともいえない,30,32.4,34.8,22.6,35.7,40.2
2,思わない,10,37.8,0.0,35.5,43.0,40.2
