,区分,０歳～１８歳までの児童数（人）,総人口に対する児童数の比率（％）,保育所入所対象児（２歳～５歳）入所児（人）,保育所入所対象児（２歳～５歳）未入所児人（人）,小学校児童（人）,中学校児童（人）,高校生徒（人）,施設入所（学）児（人）,０歳～１歳まで（人）
0,三宅村,258,9.0,25,6,63,44,52,0,15
1,御蔵島村,51,19.8,8,2,15,5,5,0,7
2,計,309,9.9,33,8,78,49,57,0,22
