,区分,調査数,テレビ,友人・知人等との会話から,Webサイト,Facebook・Twitter等のSNS,新聞・雑誌,タブレット・スマートフォンによるアプリ,個人のブログ,ラジオ,その他,特に情報収集はしていない
0,全体,1127,749.0,526.0,480.0,435.0,257.0,194.0,129.0,108.0,31.0,79.0
1,全体(%),100,66.5,46.7,42.6,38.6,22.8,17.2,11.4,9.6,2.8,7.0
2,110番を知っている,848,610.0,372.0,381.0,303.0,197.0,137.0,79.0,80.0,19.0,46.0
3,110番を知っている(%),100,71.9,43.9,44.9,35.7,23.2,16.2,9.3,9.4,2.2,5.4
4,110番を知っていない,279,139.0,154.0,99.0,132.0,60.0,57.0,50.0,28.0,12.0,33.0
5,110番を知っていない(%),100,49.8,55.2,35.5,47.3,21.5,20.4,17.9,10.0,4.3,11.8
