,年月,御蔵島東京⇒三宅⇒御蔵入（人）,御蔵島東京⇒三宅⇒御蔵出（人）,御蔵島東京⇒三宅⇒御蔵予定（日）,御蔵島東京⇒三宅⇒御蔵実績（日）,御蔵島東京⇒三宅⇒御蔵就航率（％）,御蔵島御蔵⇒三宅⇒東京入（人）,御蔵島御蔵⇒三宅⇒東京出（人）,御蔵島御蔵⇒三宅⇒東京予定（日）,御蔵島御蔵⇒三宅⇒東京実績（日）,御蔵島御蔵⇒三宅⇒東京就航率（％）,御蔵島合計入（人）,御蔵島合計出（人）
0,4,367,49,30,17,57,159,457,30,19,63,526,506
1,5,"1,036",67,31,26,84,69,916,31,25,81,"1,105",983
2,6,825,28,30,21,70,16,834,30,21,70,841,862
3,7,"1,003",45,31,23,74,110,857,31,23,74,"1,113",902
4,8,"1,212",119,31,22,71,89,"1,090",31,22,71,"1,301","1,209"
5,9,"1,008",58,30,21,70,122,"1,033",30,23,77,"1,130","1,091"
6,10,378,27,31,16,52,76,381,31,15,48,454,408
7,11,281,18,30,14,47,96,329,30,18,60,377,347
8,12,92,24,31,14,45,5,99,31,14,45,97,123
9,1,58,1,31,7,23,24,39,31,12,39,82,40
10,2,54,3,29,9,31,11,43,29,11,38,65,46
11,3,73,9,31,14,45,12,69,31,13,42,85,78
12,計,"6,387",448,366,204,56,789,"6,147",366,216,59,"7,176","6,595"
13,31,"6,387",448,366,204,56,789,"6,147",366,216,59,"7,176","6,595"
14,30,"6,564",329,365,209,57,737,"6,259",365,220,60,7301,6588
15,29,"7,162",572,365,230,63,725,"6,647",365,246,67,"7,887","7,219"
16,28,"7,749",585,365,234,64,565,"6,820",365,237,65,"8,314","7,405"
17,27,"7,424",364,366,242,66,528,"6,894",366,255,70,"7,952","7,258"
18,26,"7,384",267,365,235,64,485,"7,065",365,246,67,"7,869","7,332"
19,25,"6,528",367,365,222,61,749,"6,245",365,218,60,"7,277","6,612"
