,年月,三宅島東京⇒三宅入（人）,三宅島東京⇒三宅出（人）,三宅島東京⇒三宅予定（日）,三宅島東京⇒三宅実績（日）,三宅島東京⇒三宅就航率（％）,三宅島三宅⇒東京入（人）,三宅島三宅⇒東京出（人）,三宅島三宅⇒東京予定（日）,三宅島三宅⇒東京実績（日）,三宅島三宅⇒東京就航率（％）,三宅島合計入（人）,三宅島合計出（人）
0,4,2200,92,30,29,97,95,1531,30,27,90,2295,1623
1,5,3471,184,31,30,97,226,3006,31,30,97,3697,3190
2,6,2881,184,30,30,100,188,2392,30,29,97,3069,2576
3,7,3168,149,31,28,90,145,2624,31,26,84,3313,2773
4,8,5033,156,31,31,100,215,4575,31,29,94,5248,4731
5,9,3163,156,30,29,97,189,2641,30,28,93,3352,2797
6,10,3248,123,31,29,94,177,2763,31,27,87,3425,2886
7,11,2634,100,30,28,93,201,2128,30,28,93,2835,2228
8,12,2390,123,31,30,97,115,1881,31,28,90,2505,2004
9,1,2066,47,31,28,90,49,1345,31,26,84,2115,1392
10,2,1649,68,29,25,86,120,1111,29,26,90,1769,1179
11,3,2122,54,31,28,90,113,1751,31,27,87,2235,1805
12,計,34025,1436,366,345,94,1833,27748,366,331,90,35858,29184
13,26,33095,1446,365,339,93,1811,27120,365,324,89,34906,28566
14,25,37158,1278,365,340,93,1626,33350,365,317,87,38784,34628
15,24,38586,1603,365,334,92,2132,34674,365,316,87,40718,36277
16,23,39489,1457,366,326,89,2227,35967,366,320,87,41716,37424
17,22,43002,1886,365,338,93,2317,38721,365,325,89,45319,40607
18,21,43105,2137,365,334,92,2205,39127,365,318,87,45310,41264
19,20,40496,2169,365,323,88,3271,36636,365,325,89,43767,38805
