,区分１,区分２,三宅島面積（ｈａ）,三宅島構成比（％）,御蔵島面積（ｈａ）,御蔵島構成比（％）
0,特別地域,特別保護地区,371.0,6.7,342,17.4
1,特別地域,第１種特別地域,560.0,10.1,182,9.3
2,特別地域,第２種特別地域,1288.0,23.4,361,18.3
3,特別地域,第３種特別地域,2520.0,45.7,1022,51.9
4,特別地域,計,4739.0,85.9,1907,96.9
5,普通地域,,444.0,8.1,46,2.3
6,公園区域総面積,,5183.0,94.0,1953,99.2
7,公園区域外面積,,331.0,6.0,16,0.8
8,総面積,,5514.0,100.0,1969,100.0
9,海中公園地区（ｈａ）,,51.6,２地区,-,-
