,”N“x,“­‚¢‚Ä‚¢‚é(%),“­‚¢‚Ä‚¢‚È‚¢(%),–³‰ñ“š(%)
0,24,54.0,45.2,0.8
1,19,48.3,50.6,1.1
2,14,42.9,56.4,0.7
3,9,47.1,52.9,0.0
