,区分,文化財名,指定年月日,所在,備考
0,有形文化財,銅製観音菩薩像,32.2.29,三宅村,坪田（海蔵寺）
1,天然記念物,カラスバト,46.5.19,地域を定めず指定,
2,天然記念物,アカコッコ,50.2.13,地域を定めず指定,
3,天然記念物,カンムリウミスズメ,50.6.26,地域を定めず指定,
4,天然記念物,イイジマムシクイ,50.6.26,地域を定めず指定,
