,事業名,公単別,事業内容,事業主体,事業費（千円）,負担区分国（千円）,負担区分都（千円）,負担区分村（千円）
0,地域農政推進対策,単,担い手育成活動支援,三宅村,695,－,346,349
1,農業次世代人材投資事業,公,新規就農者経営確立支援,三宅村,"2,250","2,250",－,－
2,農業委員会交付金,公,農業委員会活動補助,三宅村,"11,763",807,－,"10,956"
3,農業委員会交付金,公,農業委員会活動補助,御蔵島村,"8,623",457,－,"8,166"
4,農業経営基盤強化事業事務取扱交付金,公,国有農地管理事務費,三宅村,57,57,－,－
