,Unnamed: 0,100ñúñ¢ñû(%),100Å`200ñúñ¢ñû(%),200Å`400ñúñ¢ñû(%),400Å`600ñúñ¢ñû(%),600Å`800ñúñ¢ñû(%),800ñúà»è„(%),ñ≥âÒìö(%)
0,24îN(63ê¢ë—),4.8,7.9,19.1,22.2,15.9,25.5,4.8
1,19îN(65ê¢ë—),1.5,1.5,26.1,32.3,12.3,23.1,3.1
2,14îN(78ê¢ë—),2.6,7.7,17.9,33.3,17.9,16.7,3.8
