,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,68.3,28.2,2.3,0.4,0.8
1,19,56.6,39.0,2.9,0.6,0.9
2,14,50.1,42.7,3.8,1.1,2.3
