,補助単独別,事業名,事業量,事業費（千円）,財源内訳国庫支出金（千円）,財源内訳都支出金（千円）,財源内訳地方債（千円）,財源内訳その他（千円）,財源内訳一般財源（千円）
0,単独,消防無線デジタル化整備,基地局４箇所、本部指令センター、自家発電機５箇所等整備,592272,,,567000.0,,25272.0
1,単独,坪田地区多目的施設整備事業,三宅村文化会館新設工事及び管理業務委託,248993,,,,238409.0,10584.0
2,単独,クリーンセンター施設整備事業,排水設備改修、ゴミクレーン・助燃・再燃バーナー・ガス冷却室減温塔・誘引通風機・雑用空気圧縮機等整備,61830,,50800.0,,,11030.0
3,単独,造林地被害対策事業,枯損木処理　４０ｈａ,58228,,58228.0,,,
4,単独,村道舗装補修工事,村道阿古幹線舗装補修工事,57605,,50615.0,,,6990.0
5,補助,村営住宅改修整備,下錆第四団地改修工事、設計業務委託、施工管理委託、釜根第二団地屋根補修工事,52289,6844.0,39300.0,,,6145.0
6,補助,笠地ストックマネジメント事業,パイプライン更新、減圧水槽１箇所等改修,47561,,43930.0,,,3631.0
7,単独,観光振興施設整備事業,クライミングウォール増設工事,44983,,38500.0,,,6483.0
8,単独,山村離島振興施設整備事業,パイプハウス資材等導入・設置補助,36622,,36014.0,,,608.0
9,単独,旧建材工場副産物処理事業,旧建材工場跡地建設副産物搬出工事,35079,,,,35079.0,
10,単独,小学校施設整備事業,プール塗装改修工事実施設計業務委託、家庭科・保健・算数習熟度別学習教室空調機取替工事、グラウンド整備工事,21390,,17500.0,,,3890.0
11,単独,燃油供給施設整備事業,三宅島漁業協同組合燃油供給施設整備補助,21150,,20835.0,,,315.0
12,単独,村道伊豆海岸線改修工事,用地鑑定業務委託、事業用地買収　Ａ＝３，４１５ｍ２,20315,,6375.0,,10248.0,3692.0
13,単独,村道今崎線改修工事,工事施工延長　Ｌ＝６３．３ｍ,16688,,14025.0,,,2663.0
14,補助,通学バス整備,スクールバス（大型）車両１台、（中型）車両１台整備,16488,6500.0,8100.0,,,1888.0
15,単独,村営住宅補修整備,給湯器等更新・床・内装張り替え等工事,15975,,11400.0,,,4575.0
16,単独,防災行政無線改修,大久保キャンプ場屋外拡声子局増設、無線設備銅管柱建替、新島中継局発電機エンジン取替,15166,,13200.0,,,1966.0
17,単独,緑化対策事業,緑化対策植栽事業苗木確保・管理委託,14796,,11400.0,,1500.0,1896.0
