,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%)
0,全体,1127,15.7,35.5,42.1,6.7
1,対策あり層,1008,16.3,36.3,41.8,5.7
2,対策なし層,109,8.3,29.4,45.9,16.5
