,1.,外国語のマニュアルを配布してほしい,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,2.0,避難誘導などわかる言語でしてほしい,,,,,
1,3.0,避難してどうすれば良いかの行動を示したパンフレット等が欲しい,,,,,
2,4.0,母国語等での案内サインを設置してほしい,,,,,
3,5.0,テレビ等でも英語等で表示してほしい,,,,,
4,6.0,ラジオで英語放送,,,,,
5,7.0,テレビで英語のテロップ,,,,,
6,8.0,その他(具体的に),,,,,
7,9.0,特にない,,,,,
