,区分,毎日（月30日以上）,月に20～29日,月に10～19日,月に２～９日,月に１日,不定期,無回答
0,1ヵ月の平均的な活動日数,62,80.0,64.0,367.0,141.0,238,82.0
1,1ヵ月の平均的な活動日数割合(%),6,7.7,6.2,35.5,13.6,23,7.9
