,Unnamed: 0,20年度,21年度,22年度,24年度,25年度
0,小学校男子体力合計点平均,52.97,53.32,53.54,54.1,54.12
1,小学校女子体力合計点平均,53.29,53.52,54.07,54.52,54.74
2,小学校男子都道府県順位,40.0,38.0,34.0,29.0,18.0
3,小学校女子都道府県順位,37.0,35.0,32.0,28.0,25.0
