,年,19,20,21,22,23,24,25
0,男性（東京都）,31.5,31.5,31.6,31.8,31.9,32.1,32.2
1,女性（東京都）,29.5,29.6,29.7,29.9,30.1,30.3,30.4
2,男性（全国）,30.1,30.2,30.4,30.5,30.7,30.8,30.9
3,女性（全国）,28.3,28.5,28.6,28.8,29.0,29.2,29.3
