,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%),無回答(%)
0,全体,1058,61.6,36.4,0.1,0.5,1.4
1,対策あり層,169,50.3,47.9,0.0,0.6,1.2
2,対策なし層,881,63.7,34.3,0.1,0.5,1.5
