,区分,５名以下,６～10名,11～15名,16～20名,21名以上,無回答
0,防犯パトロールを行っている場合の１回あたりの参加人数（人）,238.0,331.0,114,108.0,101.0,56.0
1,防犯パトロールを行っている場合の１回あたりの参加人数割合(%),25.1,34.9,12,11.4,10.7,5.9
