,区分１,区分２,総数（人）,１月（人）,２月（人）,３月（人）,４月（人）,５月（人）,６月（人）,７月（人）,８月（人）,９月（人）,１０月（人）,１１月（人）,１２月（人）
0,出生,三宅村,16,1,2,2,2,3,1,1,2,0,1,1,0
1,出生,御蔵島村,2,0,1,0,0,0,0,1,0,0,0,0,0
2,出生,計,18,1,3,2,2,3,1,2,2,0,1,1,0
3,婚姻,三宅村,15,1,1,0,1,1,2,4,0,0,1,2,2
4,婚姻,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
5,婚姻,計,15,1,1,0,1,1,2,4,0,0,1,2,2
6,離婚,三宅村,3,0,1,1,0,0,0,1,0,0,0,0,0
7,離婚,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
8,離婚,計,3,0,1,1,0,0,0,1,0,0,0,0,0
9,死亡,三宅村,52,3,4,5,7,3,6,5,2,5,5,1,6
10,死亡,御蔵島村,3,0,0,0,0,0,0,0,0,1,1,0,1
11,死亡,計,55,3,4,5,7,3,6,5,2,6,6,1,7
12,死産,三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0
13,死産,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
14,死産,計,0,0,0,0,0,0,0,0,0,0,0,0,0
15,合計,,91,5,9,8,10,7,9,12,4,6,8,4,9
