,科目１,科目２,科目３／年度（年）,29,30,31
0,教育費（千円）,,,"28,590","30,122","20,001"
1,教育費,教育管理費（千円）,,"7,434","7,744","5,750"
2,教育費,小中学校費（千円）,,"6,403","6,038","7,824"
3,教育費,小中学校費,小学校管理費（千円）,"4,590","2,952","5,214"
4,教育費,小中学校費,中学校管理費（千円）,"1,813","3,087","2,610"
5,教育費,高等学校費（千円）,,56,1,31
6,教育費,福利厚生費（千円）,,"12,695","13,547","2,209"
7,教育費,教育指導奨励費（千円）,,"1,198","2,098","3,385"
8,教育費,社会教育費（千円）,,800,694,802
