,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,76.7,20.8,1.5,0.5,0.6
1,19,69.4,28.6,1.1,0.5,0.4
2,14,71.9,26.2,1.2,0.3,0.5
3,9,54.1,40.5,4.7,0.6,0.1
