,本校・分教場,学科１,学科２,１学年男,１学年女,１学年計,２学年男,２学年女,２学年計,３学年男,３学年女,３学年計,合計男,合計女,合計計
0,三宅本校舎,普通科,,8.0,7.0,15.0,8.0,7.0,15.0,5.0,5.0,10,21,19,40
1,三宅本校舎,併合科,農業,1.0,,1.0,,,0.0,,,0,1,0,1
2,三宅本校舎,併合科,家政,,5.0,5.0,,2.0,2.0,,1.0,1,0,8,8
3,三宅本校舎,計,,9.0,12.0,21.0,8.0,9.0,17.0,5.0,6.0,11,22,27,49
4,秋川分教場,普通科,,,,,,,,,2.0,2,0,2,2
5,秋川分教場,併合科,農業,,,,,,,,,0,0,0,0
6,秋川分教場,併合科,家政,,,,,,,1.0,,1,1,0,1
7,秋川分教場,計,,,,,,,,1.0,2.0,3,1,2,3
8,合計,,,9.0,12.0,21.0,8.0,9.0,17.0,6.0,8.0,14,23,29,52
