,Unnamed: 0,100ñúñ¢ñû(%),100Å`200ñúñ¢ñû(%),200Å`400ñúñ¢ñû(%),400Å`600ñúñ¢ñû(%),600Å`800ñúñ¢ñû(%),800ñúà»è„(%),ñ≥âÒìö(%)
0,24îN(670ê¢ë—),18.3,23.6,30.8,13.3,5.8,3.0,5.3
1,19îN(527ê¢ë—),12.9,26.0,32.7,13.5,5.3,4.4,5.3
2,14îN(595ê¢ë—),9.6,25.4,35.0,11.4,6.9,3.9,7.9
