,犯罪の検挙事案,件数（件）,女性被害者（％）,男性被害者（％）
0,総数,6542,93.0,7.0
1,殺人,147,55.8,44.2
2,障害,2652,94.4,5.6
3,暴行,3743,93.5,6.5
