,従属・説明変数,万引き／オッズ比,万引き／S.E.,万引き／z,万引き／95%信頼区間,Unnamed: 5,Unnamed: 6
0,友人・知人による情報面でのサポート,0.39,0.16,-2.23,"(0.17,0.89)",,
1,定数,1.35,0.32,1.28,"(0.85,2.15)",,
2,R2(Cox&Snell),0.05,,,,,
3,R2(Nagelkerke),0.06,,,,,
4,N,108,,,,,
5,モデルのカイ2乗検定,p<0.001,,,,,
