,年度,地区,区分,旅館・ホテル,民宿通年,民宿季節,バンガロー公営,バンガロー民営,キャンプ場公営,キャンプ場民営,合計
0,29,三宅,軒数（軒）,2,30,0,1,0,1,0,34
1,29,三宅,定員（人）,70,510,0,8,0,12,0,600
2,29,御蔵,軒数（軒）,0,7,1,5,0,0,0,13
3,29,御蔵,定員（人）,0,109,12,20,0,0,0,141
4,30,三宅,軒数（軒）,2,30,0,1,0,1,0,34
5,30,三宅,定員（人）,80,664,0,8,0,12,0,764
6,30,御蔵,軒数（軒）,0,7,1,5,0,0,0,13
7,30,御蔵,定員（人）,0,109,12,20,0,0,0,141
8,元,三宅,軒数（軒）,2,30,0,1,0,1,0,34
9,元,三宅,定員（人）,80,664,0,8,0,12,0,764
10,元,御蔵,軒数（軒）,0,7,1,6,0,0,0,14
11,元,御蔵,定員（人）,0,104,12,28,0,0,0,144
