,島名,事業項目,事業細目,事業細々目,箇所名,施工地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,02年度予算事業費（千円）,02年度予算国費（千円）,02年度予算都費（千円）,02年度予算町村費（千円）,02年度予算その他（千円）,事業概要,備考整備計画名
35,三宅支庁管内計,,,,,,,,,85073423.0,49445736.0,1625568.0,983618.0,621150.0,20800.0,0.0,,
36,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
