,性別,調査産業計,"鉱業、採石業、砂利
採取業",建設業,製造業,"電気・ガス・熱供給・
水道業",情報通信業,運輸業、郵便業,卸売業、小売業,金融業、保険業,不動産業、物品賃貸業,"学術研究、専門・
技術サービス業",宿泊業、飲食サービス業,"生活関連サービス業、
娯楽業",教育、学習支援業,医療、福祉,複合サービス事業,"サービス業（他に分類
されないもの）"
0,全体（時間）,11.0,12.2,13.8,16.0,15.6,17.7,23.8,7.3,11.8,12.3,13.5,5.7,7.4,7.9,5.1,7.8,11.4
1,男性（時間）,15.4,13.1,15.5,19.0,16.6,19.1,27.2,10.7,16.6,14.8,15.9,9.3,9.9,9.8,7.1,9.0,15.1
2,女性（時間）,5.6,6.6,5.4,8.7,8.8,13.6,9.8,4.0,7.9,7.8,8.0,3.4,5.6,6.2,4.5,6.2,6.3
