,地区,あじさば棒受網（件）,底立てはえ縄（件）,底魚一本釣（件）,ひき縄（件）,かつおまぐろ（件）,いかつり（件）,浮きはえ縄（件）,はごつり（件）,かにかご（件）,合計（件）
0,三宅村,0,1,1,1,1,22,1,25,0,52
1,御蔵島村,0,0,0,0,0,0,0,0,0,0
2,計,0,1,1,1,1,22,1,25,0,52
