,島名,年,１（人）,２（人）,３（人）,４（人）,５（人）,６（人）,７（人）,８（人）,９（人）,１０（人）,１１（人）,１２（人）,合計（人）
0,三宅島,17,0,4167,4866,5251,5462,5146,5716,6602,4450,4918,4472,3507,54557
1,三宅島,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2,三宅島,15,0,0,0,0,0,0,0,0,0,0,0,0,0
3,御蔵島,17,320,197,308,631,1059,1008,1595,1982,1490,1191,368,267,10416
4,御蔵島,16,369,329,402,532,946,1089,1327,1370,1764,945,423,314,9810
5,御蔵島,15,278,221,374,348,989,927,1456,1637,1269,797,364,292,8952
