,従属・説明変数,万引き／オッズ比,万引き／S.E.,万引き／z,万引き／95%信頼区間,Unnamed: 5,Unnamed: 6
0,居住年数,0.57,0.15,-2.17,"(0.35,0.95)",,
1,近所付き合いの少なさ,1.75,0.39,2.48,"(1.12,2.72)",,
2,定数,1.82,2.06,0.53,"(0.20,16.84)",,
3,R2(Cox&Snell),0.13,,,,,
4,R2(Nagelkerke),0.17,,,,,
5,N,107,,,,,
6,モデルのカイ2乗検定,p<0.001,,,,,
