,科目１,科目２,科目３,１５（千円）,１６（千円）,１７（千円）
0,教育費,,,25018,41182,48346
1,教育費,教育管理費,,5858,8656,5387
2,教育費,小中学校費,,11647,18960,14778
3,教育費,小中学校費,小学校管理費,5704,8248,7650
4,教育費,小中学校費,中学校管理費,5943,10712,7128
5,教育費,高等学校費,,44,0,11
6,教育費,福利厚生費,,5345,10724,24290
7,教育費,教育指導奨励費,,1329,1970,2973
8,教育費,社会教育費,,795,872,907
