,1.,外国人向けの日本語学校への通学,Unnamed: 2,Unnamed: 3
0,2.0,ボランティアによる日本語教室の利用,,
1,3.0,職場や学校などが実施する日本語研修の利用,,
2,4.0,インターネットなどの通信教育の利用,,
3,5.0,その他(),,
4,6.0,学んでいない,,
