,年度（年）,鳥獣名（羽）,捕獲数（羽）,許可区分,区域
0,22,オオミズナギドリ,680,都知事,御蔵島村
1,23,オオミズナギドリ,700,都知事,御蔵島村、三宅村
2,23,カラス,62,都知事,御蔵島村、三宅村
3,24,オオミズナギドリ,700,都知事,御蔵島村
4,24,カラス,48,都知事,御蔵島村
5,25,オオミズナギドリ,700,都知事,御蔵島村、三宅村
6,25,カラス,50,都知事,御蔵島村、三宅村
7,26,オオミズナギドリ,700,都知事,御蔵島村、三宅村
8,26,カラス,133,都知事,御蔵島村、三宅村
9,27,オオミズナギドリ,70,都知事,御蔵島村、三宅村
10,27,カラス,94,都知事,御蔵島村、三宅村
